"district_id" "ocd_id" "district_type" "office_title" "figure_name" "nome_urna" "figure_id" "party_id" "url" "district_name" "party"
"Amazonas" "country:br/fed:am" "REGIONAL_LEGISLATIVE" "Deputado do estado" "ALDALEIA MARREIROS DE SOUZA" "LEIA MARREIROS'" "23221" "PPS" "https://www.facebook.com/leiamarreiros/" "Amazonas" "Partido Popular Socialista"
"Amazonas" "country:br/chamber-ed:am" "NATIONAL_LEGISLATIVE" "Deputado" "LUIZ FERNANDO SARMENTO NICOLAU" "LUIZ FERNANDO NICOLAU" "5500" "PSD" "https://www.facebook.com/LuizFernandoNicolauAM/" "Amazonas" "Partido Social Democrático"
"Amazonas" "country:br/chamber-ed:am" "NATIONAL_LEGISLATIVE" "Deputado" "FRANCISCO DAS CHAGAS COSTA" "FRANCISCO COSTA" "1812" "REDE" "https://www.facebook.com/Prof.FranciscoCosta/" "Amazonas" "Rede Sustentabilidade"
"Amazonas" "country:br/fed:am" "REGIONAL_LEGISLATIVE" "Deputado do estado" "JOSÉ AUGUSTO SOUSA DA SILVA" "ENFERMEIRO AUGUSTO" "50123" "PSOL" "https://www.facebook.com/augustokde" "Amazonas" "Partido Socialismo e Liberdade"
"Amazonas" "country:br/fed:am" "REGIONAL_LEGISLATIVE" "Deputado do estado" "LINDOMAR GONÇALVES DE VASCONCELOS" "CORONEL LINDOMAR BRITO" "27888" "DC" "https://www.facebook.com/coronellindomarbrito/" "Amazonas" "Democracia Cristã"
"Amazonas" "country:br/fed:am" "REGIONAL_LEGISLATIVE" "Deputado do estado" "RADYR GOMES DE OLIVEIRA" "RADYR OLIVEIRA" "55258" "PSD" "https://www.facebook.com/radyr.gomes.7" "Amazonas" "Partido Social Democrático"
"Amazonas" "country:br/fed:am" "REGIONAL_LEGISLATIVE" "Deputado do estado" "FERNANDO HELIO BARROZO FRAZAO BARUK" "FERNANDO BARUK" "31123" "PHS" "https://www.facebook.com/fernandobruk2018/" "Amazonas" "Partido Humanista da Soliedariedade"
"Amazonas" "country:br/fed:am" "REGIONAL_LEGISLATIVE" "Deputado do estado" "REGEANE DOS SANTOS OLIVEIRA" "REGEANE DOS SANTOS" "54567" "PPL" "ne" "Amazonas" "Partido Pátria Livre"
"Amazonas" "country:br/fed:am" "REGIONAL_LEGISLATIVE" "Deputado do estado" "DOUGLAS PAZINI JUNGLKANS" "DOUGLAS PIU PIU" "33319" "PMN" "https://www.facebook.com/DouglasPiuPiuAm/" "Amazonas" "Partido da Mobilização Nacional"
"Amazonas" "country:br/fed:am" "REGIONAL_LEGISLATIVE" "Deputado do estado" "CRISTIANE AMARAL SALES TELLES" "CRISTIANE SALES" "13131" "PT" "https://www.facebook.com/Cristiane13131/" "Amazonas" "Partido dos Trabalhadores"
"Amazonas" "country:br/fed:am" "REGIONAL_LEGISLATIVE" "Deputado do estado" "VERONICA MARIA MOREIRA DE MAGALHAES" "VERONICA MAGALHAES" "11888" "PP" "https://www.facebook.com/veromagalhaes" "Amazonas" "Progressistas"
"Amazonas" "country:br/fed:am" "REGIONAL_LEGISLATIVE" "Deputado do estado" "RUBEM MATULIO DE SOUZA" "RUBÃO MATULIO" "33173" "PMN" "https://www.facebook.com/rubem.matulio" "Amazonas" "Partido da Mobilização Nacional"
"Bahia" "country:br/chamber-ed:ba" "NATIONAL_LEGISLATIVE" "Deputado" "AZIZ ALBERTO RAMOS SANTOS" "AZIZ RAMOS" "2727" "DC" "https://www.facebook.com/AzizRAM0S/" "Bahia" "Democracia Cristã"
"Bahia" "country:br/chamber-ed:ba" "NATIONAL_LEGISLATIVE" "Deputado" "NYCOLLE BRAZ DA SILVA" "NYCOLLE BRAZ" "2711" "DC" "https://www.facebook.com/Nycolle-Braz-2018-2056491604382363/" "Bahia" "Democracia Cristã"
"Bahia" "country:br/chamber-ed:ba" "NATIONAL_LEGISLATIVE" "Deputado" "JOSE ALMEIDA ROCHA" "PEDRA DESSE CHAO" "1514" "MDB" "https://www.facebook.com/ROCHAnossa/" "Bahia" "Movimento Democrático Brasileiro"
"Bahia" "country:br/fed:ba" "REGIONAL_LEGISLATIVE" "Deputado do estado" "JOSE ADEMAQUES DOS SANTOS" "PROF. MAX" "50100" "PSOL" "https://www.facebook.com/ProfessorMaxPsol/" "Bahia" "Partido Socialismo e Liberdade"
"Bahia" "country:br/fed:ba" "REGIONAL_LEGISLATIVE" "Deputado do estado" "LEONARDO SILVA PRATES" "LEO PRATES" "25111" "DEM" "https://www.facebook.com/leo.prates.7/" "Bahia" "Democratas"
"Bahia" "country:br/fed:ba" "REGIONAL_LEGISLATIVE" "Deputado do estado" "AILTON DE JESUS DIAS" "EU TICO" "36224" "PTC" "https://www.facebook.com/EuticoAmigoDoPovo/" "Bahia" "Partido Trabalhista Cristão"
"Bahia" "country:br/chamber-ed:ba" "NATIONAL_LEGISLATIVE" "Deputado" "ANDRE LUIZ ELOY COSTA" "ANDRE ELOY" "1580" "MDB" "https://www.facebook.com/Andr%C3%A9-Eloy-165535724069945/" "Bahia" "Movimento Democrático Brasileiro"
"Bahia" "country:br/chamber-ed:ba" "NATIONAL_LEGISLATIVE" "Deputado" "ALICE MAZZUCO PORTUGAL" "ALICE PORTUGAL" "6522" "PC do B" "https://www.facebook.com/deputadaaliceportugal/" "Bahia" "Partido Comunista do Brasil"
"Bahia" "country:br/chamber-ed:ba" "NATIONAL_LEGISLATIVE" "Deputado" "ALAN BRUNO FREITAS MIRANDA" "BARRO O HOMEM DOS VIDEOS" "3134" "PHS" "https://www.facebook.com/barronelesoficial/" "Bahia" "Partido Humanista da Soliedariedade"
"Bahia" "country:br/fed:ba" "REGIONAL_LEGISLATIVE" "Deputado do estado" "SIMÃO DA SILVA BORGES" "SIMÃO DE RUFINO" "65666" "PC do B" "https://www.facebook.com/simaoborges.sima" "Bahia" "Partido Comunista do Brasil"
"Bahia" "country:br/chamber-ed:ba" "NATIONAL_LEGISLATIVE" "Deputado" "GUIMARINA MARIA DE OLIVEIRA DOS SANTOS" "GUIMARINA" "3325" "PMN" "https://www.facebook.com/profile.php?id=100011727062659" "Bahia" "Partido da Mobilização Nacional"
"Bahia" "country:br/chamber-ed:ba" "NATIONAL_LEGISLATIVE" "Deputado" "MARCOS ANTONIO DOS SANTOS LIMA" "MARCOS LIMA" "4470" "PRP" "https://www.facebook.com/OficialMarcoslima/" "Bahia" "Partido Republicano Progressista"
"Bahia" "country:br/fed:ba" "REGIONAL_LEGISLATIVE" "Deputado do estado" "MESSIAS SANT'ANA DIAS" "MESSIAS DIAS" "51380" "PATRI" "https://www.facebook.com/MessiasDias2018/" "Bahia" "Patriota"
"Bahia" "country:br/fed:ba" "REGIONAL_LEGISLATIVE" "Deputado do estado" "JOSE RIBEIRO DA SILVA" "ZELITO RIBEIRO" "51345" "PATRI" "https://www.facebook.com/ZelitoRibeiroOficial/" "Bahia" "Patriota"
"Bahia" "country:br/chamber-ed:ba" "NATIONAL_LEGISLATIVE" "Deputado" "EDVANIA SANTOS MOURA" "VANIA SANTOS" "5077" "PSOL" "NE" "Bahia" "Partido Socialismo e Liberdade"
"Bahia" "country:br/chamber-ed:ba" "NATIONAL_LEGISLATIVE" "Deputado" "TATIANE DOS SANTOS MORAES" "TATIANE SANTOS" "3690" "PTC" "NE" "Bahia" "Partido Trabalhista Cristão"
"Bahia" "country:br/fed:ba" "REGIONAL_LEGISLATIVE" "Deputado do estado" "JACIARA COSTA SANTOS" "JACY COSTA" "20199" "PSC" "https://www.facebook.com/jacy.costa.1" "Bahia" "Partido Social Cristão"
"Ceará" "country:br/chamber-ed:ce" "NATIONAL_LEGISLATIVE" "Deputado" "ANTONIO FERNANDES DA SILVA FILHO" "FERNANDES FILHO" "1911" "PODE" "https://www.facebook.com/FernandesFilho19/" "Ceará" "Podemos"
"Ceará" "country:br/chamber-ed:ce" "NATIONAL_LEGISLATIVE" "Deputado" "DIMARAES NUNES PEREIRA" "DIMARAES NUNES" "1733" "PSL" "https://www.facebook.com/Dimaraes-Motorista-2018-660675347649441/" "Ceará" "Partido Social Liberal"
"Ceará" "country:br/fed:ce" "REGIONAL_LEGISLATIVE" "Deputado do estado" "MARIA ROSIMEIRE MARQUES DE PAIVA" "MEIRE PACUTI" "54234" "PPL" "NE" "Ceará" "Partido Pátria Livre"
"Ceará" "country:br/fed:ce" "REGIONAL_LEGISLATIVE" "Deputado do estado" "MARIA ZULEIDE RODRIGUES BRANDÃO" "ZULEIDE BRANDÃO" "43009" "PV" "https://www.facebook.com/zuleide.brandao.1" "Ceará" "Partido Verde"
"Ceará" "country:br/fed:ce" "REGIONAL_LEGISLATIVE" "Deputado do estado" "JAOAO PEDRO PESSOA MAIA GURGEL" "JOÃO PEDRO GURGEL" "43007" "PV" "https://www.facebook.com/Jo%C3%A3o-Pedro-Gurgel-264232794321502/" "Ceará" "Partido Verde"
"Ceará" "country:br/fed:ce" "REGIONAL_LEGISLATIVE" "Deputado do estado" "JOÃO BATISTA GOMES MOTA" "JOÃO MOTA" "17800" "PSL" "https://www.facebook.com/joaomota45" "Ceará" "Partido Social Liberal"
"Ceará" "country:br/fed:ce" "REGIONAL_LEGISLATIVE" "Deputado do estado" "MONALISA SICILIANA FERREIRA DE SALES" "MONALISA SICILIANA" "43003" "PV" "https://www.facebook.com/monalisasiciliana.sales" "Ceará" "Partido Verde"
"Ceará" "country:br/fed:ce" "REGIONAL_LEGISLATIVE" "Deputado do estado" "TERESINHA DE JESUS DOS SANTOS" "PROFESSORA TERESINHA" "13130" "PT" "https://www.facebook.com/teresinhadejesus.santos" "Ceará" "Partido dos Trabalhadores"
"Ceará" "country:br/fed:ce" "REGIONAL_LEGISLATIVE" "Deputado do estado" "ELISANA MATOS VIANA" "LIZANA DO TRENZINHO" "51789" "PATRI" "https://www.facebook.com/Trenzinho-Lizana-384424821605841/" "Ceará" "Patriota"
"Ceará" "country:br/fed:ce" "REGIONAL_LEGISLATIVE" "Deputado do estado" "ROSANGELA RODRIGUES LIMA" "ROSANGELA DO COCO" "13789" "PT" "NE" "Ceará" "Partido dos Trabalhadores"
"Ceará" "country:br/fed:ce" "REGIONAL_LEGISLATIVE" "Deputado do estado" "JANIERES CLEMENTINO TEIXEIRA" "ITALO JANIERES" "36000" "PTC" "https://www.facebook.com/italojanieres.clementinoteixeira" "Ceará" "Partido Trabalhista Cristão"
"Ceará" "country:br/fed:ce" "REGIONAL_LEGISLATIVE" "Deputado do estado" "BRUNA MARA RIBEIRO TELES" "BRUNA RIBEIRO TELES" "12139" "PDT" "https://www.facebook.com/brunamrteles" "Ceará" "Partido Democrático Trabalhista"
"Ceará" "country:br/fed:ce" "REGIONAL_LEGISLATIVE" "Deputado do estado" "JOSÉ FERREIRA DA SILVA JUNIOR" "FERRERINHA" "28123" "PRTB" "https://www.facebook.com/ferrerinha.junior.7" "Ceará" "Partido Renovador Trabalhista Brasileiro"
"Ceará" "country:br/fed:ce" "REGIONAL_LEGISLATIVE" "Deputado do estado" "RENATO ROSENO DE OLIVEIRA" "RENATO ROSENO" "50500" "PSOL" "https://www.facebook.com/RenatoRoseno50/" "Ceará" "Partido Socialismo e Liberdade"
"Espírito Santo" "country:br/chamber-ed:es" "NATIONAL_LEGISLATIVE" "Deputado" "VASCO ALVES DE OLIVEIRA JUNIOR" "VASCO ALVES (VASQUINHO)" "5400" "PPL" "https://www.facebook.com/Vasco-Alves-106946770001010/" "Espírito Santo" "Partido Pátria Livre"
"Espírito Santo" "country:br/fed:es" "REGIONAL_LEGISLATIVE" "Deputado do estado" "JOLIMAR BARBOSA DA SILVA" "JOLIMAR" "77123" "SOLIDARIEDADE" "https://www.facebook.com/jolimar.barbosa" "Espírito Santo" "Solidariedade"
"Espírito Santo" "country:br/fed:es" "REGIONAL_LEGISLATIVE" "Deputado do estado" "GLEICY DOS SANTOS DA VITÓRIA" "GY SANTOS VITORIA" "43040" "PV" "https://www.facebook.com/gysantosvitoria/" "Espírito Santo" "Partido Verde"
"Espírito Santo" "country:br/fed:es" "REGIONAL_LEGISLATIVE" "Deputado do estado" "LUCINIO CASTELO DE ASSUMÇÃO" "CAPITÃO ASSUMÇÃO" "17190" "PSL" "https://www.facebook.com/capitaoassumcao/" "Espírito Santo" "Partido Social Liberal"
"Espírito Santo" "country:br/fed:es" "REGIONAL_LEGISLATIVE" "Deputado do estado" "DELAMAR DOS SANTOS PAZ" "DELAMAR" "23100" "PPS" "https://www.facebook.com/Delamar-Dos-Santos-Paz-177875849432875/" "Espírito Santo" "Partido Popular Socialista"
"Espírito Santo" "country:br/fed:es" "REGIONAL_LEGISLATIVE" "Deputado do estado" "OSVALDO MATURANO" "OSVALDO MATURANO" "10333" "PRB" "https://www.facebook.com/OsvaldoMaturanoOficial/" "Espírito Santo" "Partido Republicano Brasileiro"
"Goiás" "country:br/chamber-ed:go" "NATIONAL_LEGISLATIVE" "Deputado" "PATRICIA VALENTE BARRA" "PATRICIA VALENTE" "1188" "PP" "NE" "Goiás" "Progressistas"
"Goiás" "country:br/chamber-ed:go" "NATIONAL_LEGISLATIVE" "Deputado" "UEDSON VIEIRA" "UEDSON VIEIRA" "5088" "PSOL" "https://www.facebook.com/uedson.linovieira" "Goiás" "Partido Socialismo e Liberdade"
"Goiás" "country:br/fed:go" "REGIONAL_LEGISLATIVE" "Deputado do estado" "OSMAR PIRES DE MAGALHÃES" "OSMAR MAGALHÃES" "40440" "PSB" "NE" "Goiás" "Partido Socialista Brasileiro"
"Goiás" "country:br/fed:go" "REGIONAL_LEGISLATIVE" "Deputado do estado" "LIVIA PAULA VIEIRA" "LÍVIA VIEIRA" "17008" "PSL" "NE" "Goiás" "Partido Social Liberal"
"Goiás" "country:br/fed:go" "REGIONAL_LEGISLATIVE" "Deputado do estado" "ABDUL HAMID SEBBA" "ABDUL SEBBA" "17123" "PSL" "https://www.facebook.com/abdul.sebba.3" "Goiás" "Partido Social Liberal"
"Goiás" "country:br/fed:go" "REGIONAL_LEGISLATIVE" "Deputado do estado" "ALESSANDRA FERREIRA DELIMA" "ALESSANDA FERREIRA" "65015" "PC do B" "https://www.facebook.com/alessandra.ferreiradelima.35" "Goiás" "Partido Comunista do Brasil"
"Goiás" "country:br/fed:go" "REGIONAL_LEGISLATIVE" "Deputado do estado" "JORGE ROBSON DA SILVA" "JORGE" "40400" "PSB" "NE" "Goiás" "Partido Socialista Brasileiro"
"Goiás" "country:br/fed:go" "REGIONAL_LEGISLATIVE" "Deputado do estado" "PAULO LUIZ DA SILVA LINS" "PAULO LINS" "51515" "PATRI" "https://www.facebook.com/paulo.luiz.923" "Goiás" "Patriota"
"Goiás" "country:br/fed:go" "REGIONAL_LEGISLATIVE" "Deputado do estado" "GAUDERY MARTINS DA SILVA" "INDIO GAUDERY" "14333" "PTB" "https://www.facebook.com/profile.php?id=100011516280237" "Goiás" "Partido Trabalhista Brasileiro"
"Goiás" "country:br/fed:go" "REGIONAL_LEGISLATIVE" "Deputado do estado" "RENAN DOS SANTOS GAMA" "RENAN GAMA" "17770" "PSL" "https://www.facebook.com/renangama17/" "Goiás" "Partido Social Liberal"
"Goiás" "country:br/fed:go" "REGIONAL_LEGISLATIVE" "Deputado do estado" "JOECY CRISTINA MACHADO GARCIA" "JOECY MACHADO" "77027" "SOLIDARIEDADE" "https://www.facebook.com/joecycristina.machadogarcia" "Goiás" "Solidariedade"
"Goiás" "country:br/fed:go" "REGIONAL_LEGISLATIVE" "Deputado do estado" "EUSO GOMES SOUSA" "EUSO GOMES" "19125" "PODE" "https://www.facebook.com/profile.php?id=100004558904765" "Goiás" "Podemos"
"Goiás" "country:br/fed:go" "REGIONAL_LEGISLATIVE" "Deputado do estado" "MARCONDE DE OLIVEIRA SANTOS" "MARCONDES DE OLIVEIRA" "31012" "PHS" "https://www.facebook.com/marcondes.oliveira.96199" "Goiás" "Partido Humanista da Soliedariedade"
